occupation,weekly_all,annual_all,weekly_women,annual_women,weekly_men,annual_men
chiefexecutiveofficer,2901,150852,2983.0,155116.0,2520.0,131040.0
computerprogrammer,1889,98228,1906.0,99112.0,1760.0,91520.0
softwaredeveloper,2283,118716,2296.0,119392.0,2020.0,105040.0
"engineer",1938,100776,1953.0,101556.0,1904.0,99008.0
drafter,1326,68952,1259.0,65468.0,,
biologist,1404,73008,,,1352.0,70304.0
chemist,1913,99476,2180.0,113360.0,,
primaryschoolteacher,1243,64636,1370.0,71240.0,1220.0,63440.0
specialedteacher,1164,60528,,,1156.0,60112.0
librarian,1118,58136,,,1174.0,61048.0
author,1322,68744,1551.0,80652.0,,
pharmacist,2208,114816,2238.0,116376.0,2180.0,113360.0
doctor,2914,151528,2920.0,151840.0,2907.0,151164.0
nurse,1442,74984,1657.0,86164.0,1409.0,73268.0
nursepractitioner,2079,108108,,,2031.0,105612.0
labtech,1117,58084,1172.0,60944.0,1089.0,56628.0
policeofficer,1320,68640,1363.0,70876.0,1034.0,53768.0
securityguard,788,40976,811.0,42172.0,717.0,37284.0
chef,816,42432,854.0,44408.0,690.0,35880.0
cook,655,34060,682.0,35464.0,608.0,31616.0
bartender,764,39728,768.0,39936.0,745.0,38740.0
custodian,696,36192,745.0,38740.0,626.0,32552.0
childcareworker,619,32188,686.0,35672.0,611.0,31772.0
insurancesalesagent,635,33020,,,632.0,32864.0
customerservicerepresentative,1081,56212,1310.0,68120.0,927.0,48204.0
receptionist,828,43056,918.0,47736.0,799.0,41548.0
mailcarrier,752,39104,770.0,40040.0,749.0,38948.0
administrativeassistant,1130,58760,1194.0,62088.0,1015.0,52780.0
"constructionworker",894,46488,1101.0,57252.0,882.0,45864.0
electrician,858,44616,870.0,45240.0,711.0,36972.0
plumber,1195,62140,1199.0,62348.0,,
"roofer",1063,55276,1070.0,55640.0,,
buildinginspector,804,41808,808.0,42016.0,,
butcher,1193,62036,1197.0,62244.0,,
"welder",767,39884,818.0,42536.0,696.0,36192.0
"housekeeper",1012,52624,1019.0,52988.0,,
pilot,2015,104780,2005.0,104260.0,,
"busdriver",911,47372,979.0,50908.0,811.0,42172.0
truckdriver,1005,52260,1016.0,52832.0,734.0,38168.0
craneoperator,1316,68432,1326.0,68952.0,,
garbagecollector,762,39624,789.0,41028.0,,
